,Amount,Consume,Necessity,Days
7599,699,26,Medium,26
7600,490,17,Medium,27
7601,440,49,Medium,8
7602,545,16,High,31
7603,430,37,Low,13
7604,355,27,Low,12
7605,791,30,High,22
7606,869,20,High,41
7607,722,48,Medium,13
7608,562,29,High,16
7609,797,46,High,15
7610,237,29,High,6
7611,979,36,Medium,27
7612,565,37,Medium,15
7613,962,45,High,22
7614,551,24,Low,20
7615,309,48,Low,6
7616,562,11,Low,48
7617,120,24,Medium,3
7618,527,3,Medium,132
7619,227,26,Medium,12
7620,506,19,Low,23
7621,238,3,High,74
7622,340,17,Medium,21
7623,569,20,Low,27
7624,814,49,High,17
7625,969,11,Medium,88
7626,341,27,Low,11
7627,995,49,Medium,18
7628,805,39,Low,20
7629,684,49,Medium,11
7630,860,48,Low,16
7631,332,24,High,14
7632,593,35,Medium,17
7633,895,6,Medium,141
7634,426,22,Low,19
7635,707,40,High,15
7636,205,25,High,5
7637,557,35,Medium,16
7638,462,37,Low,12
7639,577,13,Medium,42
7640,404,43,Low,9
7641,608,23,High,24
7642,812,11,Medium,66
7643,236,43,Low,7
7644,80,21,High,5
7645,309,37,Low,8
7646,470,27,Medium,15
7647,578,19,Low,28
7648,600,40,Medium,11
7649,353,29,High,12
7650,991,20,Low,45
7651,993,6,High,156
7652,538,2,Medium,196
7653,693,43,Medium,13
7654,591,18,High,34
7655,719,32,Medium,22
7656,327,46,High,5
7657,252,8,Medium,29
7658,115,28,Medium,7
7659,157,38,Low,2
7660,317,38,Low,6
7661,271,26,Medium,7
7662,853,31,High,25
7663,579,38,High,18
7664,139,42,High,2
7665,742,38,Medium,18
7666,304,18,Medium,16
7667,504,49,High,10
7668,302,22,Low,15
7669,306,2,Low,140
7670,432,18,High,23
7671,491,7,Medium,67
7672,907,6,Medium,132
7673,648,14,High,42
7674,139,3,Low,36
7675,798,34,High,22
7676,439,4,High,97
7677,631,10,High,55
7678,93,5,Low,15
7679,761,4,High,186
7680,713,14,Low,50
7681,647,29,Medium,21
7682,68,48,Low,2
7683,150,43,Low,2
7684,963,43,High,24
7685,656,9,Medium,68
7686,815,13,High,60
7687,406,4,Low,84
7688,591,39,Low,14
7689,810,4,High,179
7690,987,28,Medium,37
7691,82,13,Low,10
7692,278,12,Low,20
7693,573,49,Low,12
7694,679,38,Medium,18
7695,911,42,High,19
7696,204,29,Medium,9
7697,472,43,Medium,10
7698,954,32,Low,25
7699,295,47,Medium,4
7700,454,14,Low,27
7701,893,30,Medium,29
7702,808,34,Medium,23
7703,590,20,High,31
7704,210,44,Medium,8
7705,796,49,High,20
7706,751,25,Low,27
7707,166,20,Low,9
7708,320,24,High,14
7709,819,42,Low,18
7710,741,32,Low,23
7711,536,3,Medium,168
7712,934,27,High,32
7713,221,1,Low,122
7714,999,39,High,25
7715,308,24,Low,10
7716,184,40,Low,6
7717,732,3,High,223
7718,771,8,Low,88
7719,797,20,High,37
7720,471,12,Low,40
7721,470,17,Medium,24
7722,978,41,High,22
7723,413,44,Low,10
7724,656,46,Low,14
7725,427,17,High,24
7726,572,15,Medium,36
7727,629,12,Medium,50
7728,940,41,Medium,28
7729,771,34,High,22
7730,245,12,Medium,18
7731,930,19,High,47
7732,147,25,Medium,5
7733,654,26,Medium,24
7734,499,19,Low,27
7735,221,45,Low,5
7736,432,22,Low,17
7737,183,37,Medium,6
7738,475,46,Medium,6
7739,74,45,Low,5
7740,552,3,Medium,149
7741,234,11,Medium,24
7742,134,24,Low,4
7743,616,22,High,28
7744,812,32,Low,23
7745,193,47,Low,4
7746,912,6,High,140
7747,959,23,Medium,40
7748,728,10,Low,68
7749,461,44,Low,10
7750,273,48,Medium,11
7751,269,24,Medium,13
7752,228,6,High,37
7753,680,39,Medium,16
7754,482,35,Low,14
7755,314,18,Medium,15
7756,478,44,Medium,10
7757,711,48,High,10
7758,465,28,High,16
7759,502,28,Low,17
7760,776,15,Low,48
7761,246,29,Medium,9
7762,603,22,Low,27
7763,102,15,Low,5
7764,529,4,Medium,124
7765,492,13,Medium,36
7766,379,10,Medium,33
7767,300,27,High,7
7768,856,30,High,30
7769,939,30,Medium,30
7770,832,20,High,41
7771,974,21,High,44
7772,172,41,High,6
7773,928,24,Low,38
7774,436,49,Medium,11
7775,388,22,Medium,17
7776,827,32,Low,19
7777,397,3,High,117
7778,78,33,Medium,2
7779,567,47,Low,11
7780,445,49,High,8
7781,672,14,Low,42
7782,343,29,Low,13
7783,638,23,High,26
7784,398,28,High,12
7785,196,8,Medium,31
7786,953,45,High,20
7787,569,23,High,20
7788,171,14,Medium,14
7789,389,7,Medium,48
7790,224,34,Medium,8
7791,949,16,Low,56
7792,740,45,Medium,13
7793,646,33,Low,17
7794,500,32,Medium,18
7795,606,28,Low,22
7796,185,3,Medium,53
7797,904,46,Low,14
7798,65,31,Medium,1
7799,382,49,Medium,9
7800,244,27,High,7
7801,545,35,Low,17
7802,58,3,High,15
7803,877,31,Low,30
7804,383,38,High,8
7805,382,39,Medium,9
7806,376,38,High,8
7807,64,12,Medium,7
7808,888,48,Low,19
7809,663,49,Medium,9
7810,275,4,High,59
7811,474,46,Low,7
7812,839,15,High,53
7813,457,34,Medium,14
7814,162,17,Medium,6
7815,477,48,High,9
7816,50,5,Low,9
7817,315,25,High,13
7818,540,21,Medium,25
7819,257,16,Low,16
7820,671,32,High,23
7821,761,7,Medium,100
7822,418,36,Low,12
7823,355,49,High,9
7824,61,40,Low,3
7825,394,43,Medium,8
7826,514,18,High,27
7827,749,16,High,45
7828,715,26,Medium,27
7829,543,3,Medium,169
7830,417,47,Medium,9
7831,895,8,High,110
7832,986,45,Medium,18
7833,469,5,High,91
7834,938,41,High,20
7835,840,8,Low,95
7836,220,2,Medium,74
7837,183,36,Medium,6
7838,476,14,Low,31
7839,74,36,High,2
7840,579,28,High,21
7841,239,6,High,37
7842,190,46,Medium,2
7843,604,23,High,25
7844,895,36,Low,25
7845,845,25,High,33
7846,707,30,Medium,18
7847,364,15,Medium,22
7848,493,10,High,46
7849,368,27,High,13
7850,490,22,Medium,19
7851,141,20,High,5
7852,228,33,Low,2
7853,105,34,Medium,4
7854,204,3,High,64
7855,721,17,High,40
7856,160,21,High,6
7857,186,5,Low,30
7858,281,12,Medium,23
7859,517,3,Low,143
7860,781,49,High,17
7861,530,37,Low,15
7862,117,5,High,24
7863,298,36,Medium,7
7864,372,22,Medium,17
7865,971,39,High,26
7866,953,46,High,18
7867,567,30,High,18
7868,841,10,Medium,83
7869,481,39,Medium,13
7870,536,47,High,10
7871,655,29,Medium,23
7872,478,34,High,11
7873,318,17,Low,22
7874,758,19,Medium,37
7875,586,36,High,16
7876,197,46,Low,3
7877,167,31,High,5
7878,899,39,Low,20
7879,416,9,Medium,46
7880,899,11,Medium,77
7881,115,27,High,4
7882,862,9,Medium,89
7883,419,32,Medium,11
7884,224,15,Low,9
7885,880,39,Medium,24
7886,637,40,Low,15
7887,544,23,Low,19
7888,163,9,Low,12
7889,160,32,Medium,4
7890,810,49,High,16
7891,488,31,High,15
7892,196,1,Low,102
7893,84,16,Medium,5
7894,358,10,High,35
7895,587,40,Low,15
7896,799,42,Medium,20
7897,63,13,Low,4
7898,423,16,Low,25
7899,606,12,High,47
7900,477,45,Low,7
7901,777,25,Medium,30
7902,282,33,Low,7
7903,754,21,Low,33
7904,612,31,Medium,19
7905,988,19,High,50
7906,936,17,High,51
7907,775,32,Medium,24
7908,712,29,Low,23
7909,489,15,Medium,32
7910,551,8,Medium,68
7911,324,19,Medium,17
7912,899,21,High,42
7913,125,31,Low,2
7914,488,45,Medium,9
7915,909,12,High,67
7916,748,10,Low,70
7917,338,25,Medium,11
7918,964,22,Low,43
7919,589,36,Medium,15
7920,940,12,High,73
7921,741,30,High,25
7922,302,44,Low,8
7923,175,45,Medium,5
7924,226,47,Low,4
7925,86,38,Medium,1
7926,459,45,Low,8
7927,660,12,High,52
7928,659,10,Low,59
7929,176,1,Medium,134
7930,532,35,Low,16
7931,217,46,Medium,1
7932,641,10,Low,63
7933,343,32,Medium,13
7934,894,37,Medium,20
7935,687,46,Medium,17
7936,392,32,Low,10
7937,359,48,Low,6
7938,711,17,High,40
7939,577,18,Medium,32
7940,589,27,High,21
7941,468,19,High,22
7942,734,36,High,19
7943,607,37,Low,15
7944,889,37,High,22
7945,285,17,Low,15
7946,488,26,Medium,18
7947,263,18,Medium,16
7948,134,1,Medium,75
7949,843,28,High,29
7950,793,7,Medium,110
7951,134,4,Medium,25
7952,970,38,Low,25
7953,114,47,High,1
7954,695,26,Medium,28
7955,712,49,High,14
7956,676,3,Medium,174
7957,113,29,Low,2
7958,392,18,High,20
7959,988,42,High,24
7960,924,18,Low,48
7961,968,13,High,70
7962,401,43,Medium,7
7963,207,19,High,10
7964,540,20,Low,31
7965,707,33,Low,18
7966,904,13,Medium,68
7967,512,22,High,21
7968,274,3,High,75
7969,966,29,Low,31
7970,362,38,Medium,11
7971,664,21,High,31
7972,968,21,Medium,42
7973,908,5,High,170
7974,862,10,Low,80
7975,989,8,Low,116
7976,515,24,Low,20
7977,137,26,Low,10
7978,932,47,Low,23
7979,352,4,Low,77
7980,729,30,Medium,21
7981,484,26,Low,16
7982,731,26,Medium,27
7983,184,43,Low,4
7984,99,11,High,7
7985,481,2,High,159
7986,389,33,High,7
7987,396,17,Medium,17
7988,396,13,Medium,32
7989,698,16,Low,40
7990,294,31,High,8
7991,158,9,Medium,16
7992,874,21,Low,41
7993,848,24,Medium,33
7994,582,23,Medium,22
7995,139,48,High,4
7996,345,3,High,102
7997,161,47,High,4
7998,638,39,High,16
7999,226,22,Low,12
8000,392,23,Low,15
8001,709,44,High,15
8002,150,44,High,2
8003,807,12,High,68
8004,678,10,Medium,62
8005,653,25,High,25
8006,450,45,Low,9
8007,77,16,Low,7
8008,986,32,Medium,28
8009,586,35,Low,18
8010,107,39,High,1
8011,547,28,Medium,17
8012,346,20,Medium,17
8013,183,48,Low,6
8014,380,30,High,11
8015,298,36,High,7
8016,599,17,High,34
8017,951,33,Medium,28
8018,990,13,Low,73
8019,124,13,Low,6
8020,703,36,Low,17
8021,883,26,High,33
8022,217,34,Medium,7
8023,820,14,Medium,57
8024,552,30,Low,18
8025,934,22,Low,42
8026,404,30,Medium,10
8027,274,15,Low,19
8028,713,36,Medium,21
8029,580,40,Medium,13
8030,195,13,Low,12
8031,290,15,Medium,20
8032,933,33,Medium,31
8033,942,35,Low,27
8034,393,35,Low,9
8035,798,34,Low,23
8036,84,20,Medium,2
8037,751,20,Low,38
8038,50,13,Low,3
8039,202,8,Medium,21
8040,478,34,Medium,14
8041,994,5,Low,177
8042,557,46,Low,9
8043,175,41,Medium,5
8044,540,43,Medium,13
8045,531,45,High,10
8046,394,21,Medium,21
8047,961,42,Medium,21
8048,787,8,High,89
8049,270,2,Low,131
8050,964,39,High,26
8051,968,4,Medium,208
8052,772,49,High,14
8053,74,34,High,1
8054,577,37,High,13
8055,231,13,High,17
8056,548,34,High,15
8057,690,42,Low,15
8058,91,9,High,11
8059,964,35,High,27
8060,530,11,High,42
8061,979,4,High,225
8062,897,24,Medium,36
8063,797,9,High,84
8064,921,36,High,27
8065,488,12,High,37
8066,451,17,Low,24
8067,595,28,High,22
8068,394,14,Medium,27
8069,942,19,Low,49
8070,94,40,Medium,1
8071,695,9,Low,71
8072,70,5,Low,11
8073,683,17,High,36
8074,119,21,High,4
8075,913,27,Low,33
8076,922,19,High,52
8077,97,39,High,4
8078,540,2,Low,182
8079,600,22,Low,28
8080,336,19,Medium,14
8081,59,32,Low,4
8082,591,48,Medium,11
8083,805,26,Medium,29
8084,323,49,High,8
8085,649,15,High,39
8086,430,9,Low,46
8087,378,20,Medium,20
8088,528,16,Medium,32
8089,64,5,High,12
8090,565,22,Low,23
8091,240,17,Low,9
8092,217,7,Low,29
8093,570,15,Low,35
8094,670,44,High,14
8095,186,15,High,10
8096,203,35,Medium,1
8097,437,30,High,12
8098,258,21,Medium,11
8099,321,12,High,24
8100,192,19,High,9
8101,660,30,Low,21
8102,938,18,Medium,51
8103,869,11,Medium,73
8104,118,6,Medium,17
8105,296,44,High,5
8106,310,22,Low,11
8107,837,31,High,26
8108,128,25,Low,1
8109,707,43,High,14
8110,672,27,Medium,24
8111,819,24,High,34
8112,654,46,Medium,14
8113,574,36,Low,16
8114,821,6,Medium,128
8115,987,9,Medium,101
8116,670,39,Medium,19
8117,379,41,Medium,4
8118,238,27,Low,10
8119,666,31,High,19
8120,57,22,High,3
8121,116,34,High,4
8122,545,6,Medium,84
8123,240,48,Low,4
8124,415,37,Low,9
8125,817,31,High,27
8126,570,16,High,34
8127,166,8,Low,17
8128,660,33,Medium,20
8129,534,32,Low,16
8130,558,19,Low,29
8131,347,31,Medium,14
8132,958,40,Medium,19
8133,213,2,Medium,95
8134,425,23,Low,21
8135,702,38,Low,19
8136,317,27,Low,10
8137,598,32,Medium,15
8138,123,26,Low,4
8139,557,49,Low,10
8140,122,3,Medium,30
8141,357,25,High,12
8142,248,5,High,45
8143,179,8,Low,20
8144,807,19,Medium,38
8145,873,8,Medium,96
8146,621,48,Low,12
8147,840,47,Low,15
8148,664,17,High,37
8149,857,32,Medium,22
8150,881,27,Low,31
8151,536,40,Medium,13
8152,902,31,Low,27
8153,200,1,High,197
8154,718,38,Low,18
8155,255,37,High,2
8156,228,25,High,8
8157,246,45,Low,3
8158,784,45,Low,14
8159,138,26,High,6
8160,848,30,Medium,28
8161,837,15,High,53
8162,797,16,High,47
8163,232,9,Low,19
8164,258,44,Low,3
8165,542,37,High,12
8166,179,6,High,29
8167,714,49,Medium,17
8168,62,36,Medium,2
8169,683,42,Medium,16
8170,781,25,High,31
8171,155,35,Medium,3
8172,424,27,Medium,13
8173,631,33,Low,20
8174,756,41,Low,21
8175,747,19,High,40
8176,148,42,Low,8
8177,643,8,High,70
8178,636,14,High,43
8179,901,18,Medium,46
8180,241,19,Low,15
8181,374,40,Low,7
8182,775,33,Low,22
8183,876,22,Low,41
8184,516,32,Medium,16
8185,416,9,Low,42
8186,367,31,Medium,8
8187,193,32,Low,5
8188,433,38,Low,11
8189,265,20,Medium,13
8190,410,36,Medium,15
8191,373,34,Medium,12
8192,266,11,High,23
8193,541,28,Medium,19
8194,1000,30,Low,36
8195,596,49,Low,11
8196,232,10,Low,21
8197,319,26,Low,12
8198,994,17,High,53
8199,516,26,High,16
8200,919,12,High,73
8201,661,3,Low,199
8202,568,29,Low,16
8203,591,17,Medium,33
8204,516,9,Medium,50
8205,354,16,Low,17
8206,193,3,Medium,56
8207,160,47,Medium,4
8208,281,29,Low,10
8209,740,40,High,19
8210,633,21,Low,28
8211,771,45,Low,17
8212,781,24,Medium,32
8213,641,29,Medium,16
8214,549,25,Low,18
8215,644,36,High,15
8216,603,28,Low,21
8217,322,14,High,23
8218,752,8,High,93
8219,222,30,Low,8
8220,56,24,Low,2
8221,204,5,Low,36
8222,571,20,High,31
8223,595,26,Medium,23
8224,597,41,High,14
8225,970,4,High,206
8226,567,18,High,33
8227,969,41,Medium,26
8228,963,32,High,27
8229,264,15,High,14
8230,183,42,High,4
8231,334,25,Medium,10
8232,175,25,High,6
8233,970,48,Medium,23
8234,488,47,Medium,10
8235,898,18,Low,48
8236,735,7,Low,92
8237,201,16,Low,14
8238,380,2,Medium,153
8239,432,20,Low,24
8240,164,47,Low,3
8241,943,43,Medium,20
8242,531,26,High,16
8243,333,28,Low,11
8244,124,11,Low,10
8245,215,2,Low,96
8246,238,37,Medium,2
8247,127,8,High,20
8248,996,43,High,21
8249,651,32,Low,21
8250,737,12,High,59
8251,70,8,Low,2
8252,615,31,Low,19
8253,233,45,High,5
8254,920,36,High,24
8255,271,18,Medium,17
8256,876,29,Low,33
8257,377,16,High,23
8258,228,49,Medium,5
8259,837,37,High,19
8260,161,31,High,2
8261,785,21,Low,34
8262,775,31,Medium,28
8263,108,17,Low,4
8264,376,2,High,158
8265,954,20,Medium,45
8266,670,46,Low,12
8267,946,31,Medium,28
8268,718,5,High,139
8269,240,44,Medium,3
8270,249,14,High,20
8271,361,12,Low,27
8272,757,15,High,48
8273,84,29,High,2
8274,428,27,Medium,17
8275,436,25,Medium,17
8276,807,36,Low,22
8277,286,16,Medium,19
8278,665,39,Low,14
8279,568,9,High,57
8280,332,39,High,8
8281,780,34,High,22
8282,513,24,High,18
8283,279,33,Low,6
8284,221,4,Medium,47
8285,602,3,High,160
8286,172,8,High,19
8287,892,29,High,28
8288,347,37,Medium,7
8289,934,4,High,194
8290,978,46,High,19
8291,739,48,Low,14
8292,624,30,Medium,21
8293,533,24,High,21
8294,214,37,Low,3
8295,748,17,High,42
8296,432,25,Low,15
8297,258,45,High,4
8298,788,47,Medium,15
8299,481,46,Medium,12
8300,438,13,Low,32
8301,609,12,High,52
8302,273,15,Medium,15
8303,421,16,Medium,24
8304,736,19,Low,40
8305,495,31,Medium,11
8306,660,38,High,17
8307,165,37,High,3
8308,319,40,High,9
8309,496,2,Low,193
8310,417,3,Low,126
8311,302,39,High,8
8312,366,27,High,19
8313,464,29,Medium,19
8314,144,3,Medium,41
8315,834,13,Medium,60
8316,941,32,High,28
8317,73,43,Medium,3
8318,677,45,High,17
8319,712,25,Low,26
8320,899,27,Medium,28
8321,551,27,High,22
8322,767,26,Low,31
8323,547,45,Low,12
8324,384,39,Low,10
8325,128,45,Low,6
8326,631,11,Medium,57
8327,76,26,Low,4
8328,320,42,High,7
8329,611,6,High,93
8330,853,39,High,20
8331,296,9,High,28
8332,825,40,High,21
8333,640,30,Low,20
8334,436,10,High,40
8335,751,24,Low,33
8336,608,34,Low,18
8337,410,32,Low,13
8338,915,21,Low,41
8339,537,45,Medium,12
8340,401,26,Medium,14
8341,750,25,Medium,34
8342,977,4,Medium,245
8343,305,46,Medium,4
8344,271,9,High,27
8345,933,26,Medium,32
8346,802,40,High,16
8347,830,11,High,75
8348,50,26,Low,1
8349,595,12,Low,44
8350,495,38,Low,9
8351,128,28,Medium,4
8352,285,42,High,7
8353,383,44,Medium,9
8354,938,32,Low,30
8355,398,36,Low,12
8356,147,27,High,2
8357,131,19,High,4
8358,551,32,Low,18
8359,526,45,Medium,10
8360,976,21,Medium,42
8361,753,16,High,43
8362,814,20,Low,42
8363,970,22,Medium,45
8364,599,4,High,130
8365,441,25,High,17
8366,396,29,Medium,12
8367,359,18,High,18
8368,435,31,Medium,15
8369,258,44,High,4
8370,406,47,Medium,9
8371,650,29,Low,22
8372,617,3,Medium,196
8373,143,48,Low,6
8374,142,35,High,5
8375,389,17,Medium,19
8376,646,8,High,75
8377,494,8,Low,64
8378,806,9,High,87
8379,71,3,High,23
8380,340,45,High,8
8381,534,27,Low,21
8382,833,35,Low,25
8383,355,41,Medium,6
8384,683,39,Medium,18
8385,177,44,Medium,1
8386,674,48,Medium,11
8387,988,22,High,43
8388,322,47,Low,3
8389,897,36,Low,23
8390,491,4,High,105
8391,552,34,Medium,16
8392,179,34,Low,8
8393,181,45,High,4
8394,646,19,High,33
8395,984,29,Medium,32
8396,911,17,Low,52
8397,439,4,Low,106
8398,642,26,Medium,24
8399,374,41,Low,12
8400,118,11,Medium,7
8401,709,26,High,24
8402,497,10,High,44
8403,577,6,High,82
8404,868,26,Low,34
8405,666,4,Medium,134
8406,214,29,High,6
8407,537,2,High,211
8408,762,6,Low,122
8409,758,27,Low,32
8410,475,29,High,17
8411,883,29,Low,28
8412,314,42,Low,4
8413,924,36,Low,28
8414,661,7,Medium,86
8415,391,30,Low,14
8416,881,33,Low,26
8417,327,42,Low,6
8418,723,45,Low,15
8419,488,42,High,8
8420,206,41,High,8
8421,471,37,High,12
8422,300,32,Medium,12
8423,927,34,Low,31
8424,658,40,Medium,16
8425,579,33,Medium,18
8426,376,17,Low,20
8427,944,19,Low,51
8428,146,44,High,3
8429,265,35,Medium,5
8430,181,47,High,3
8431,309,35,Medium,9
8432,174,49,Low,3
8433,131,34,High,4
8434,332,2,Low,123
8435,732,41,High,18
8436,108,14,High,8
8437,593,22,High,28
8438,210,16,Low,14
8439,333,14,High,23
8440,155,22,High,7
8441,154,19,Low,5
8442,488,32,Medium,17
8443,277,40,Low,6
8444,749,15,Low,47
8445,631,11,High,54
8446,367,33,Low,9
8447,513,33,Low,13
8448,851,45,Low,16
8449,931,42,Low,23
8450,923,26,High,34
8451,521,31,Low,17
8452,105,5,High,20
8453,674,22,High,29
8454,62,12,Low,7
8455,489,13,Medium,38
8456,67,25,Low,4
8457,743,40,Medium,19
8458,162,37,High,3
8459,278,29,Medium,8
8460,220,27,Medium,7
8461,344,21,High,18
8462,238,48,Medium,7
8463,475,28,Low,13
8464,128,13,Medium,10
8465,707,12,High,52
8466,968,30,Medium,30
8467,231,26,High,7
8468,847,41,Low,18
8469,811,35,High,19
8470,915,33,Medium,26
8471,875,4,Low,200
8472,757,18,Low,36
8473,884,46,Medium,21
8474,120,43,Medium,2
8475,297,14,Low,19
8476,195,8,High,24
8477,667,23,Low,27
8478,824,18,Low,47
8479,345,34,Low,10
8480,631,48,High,14
8481,519,18,Medium,28
8482,555,4,Medium,138
8483,242,44,Medium,5
8484,117,2,High,39
8485,543,47,High,15
8486,866,33,Medium,25
8487,931,10,Medium,89
8488,412,2,Medium,136
8489,846,24,High,30
8490,966,23,Medium,40
8491,523,17,Low,26
8492,895,47,Medium,17
8493,570,41,High,17
8494,812,33,Low,25
8495,480,8,Low,53
8496,893,36,Low,22
8497,347,36,High,9
8498,484,21,Medium,24
8499,745,46,High,12
8500,740,9,High,86
8501,247,14,Low,15
8502,177,4,Low,42
8503,581,39,High,14
8504,460,31,Low,14
8505,983,16,High,58
8506,889,9,Low,100
8507,114,2,Medium,40
8508,743,9,Medium,82
8509,290,23,Medium,12
8510,418,13,Low,30
8511,585,13,Low,42
8512,433,43,Medium,9
8513,480,26,High,16
8514,132,36,High,3
8515,746,18,Low,39
8516,1000,24,High,41
8517,877,10,High,85
8518,660,6,High,97
8519,623,43,Low,12
8520,335,47,High,6
8521,583,4,High,120
8522,508,18,Medium,26
8523,261,47,Low,6
8524,175,5,Medium,36
8525,462,32,High,14
8526,548,48,Low,13
8527,474,48,Low,7
8528,603,24,Medium,25
8529,659,8,Medium,72
8530,592,10,Low,55
8531,207,44,Low,7
8532,451,30,High,13
8533,808,38,Low,16
8534,171,37,High,2
8535,322,33,Medium,8
8536,343,41,Low,9
8537,447,34,Medium,14
8538,520,27,Low,20
8539,256,12,Low,21
8540,159,37,Medium,1
8541,489,24,Medium,21
8542,327,15,High,19
8543,617,40,Medium,16
8544,936,35,Medium,24
8545,964,46,High,20
8546,618,9,Medium,67
8547,989,32,High,30
8548,531,12,High,39
8549,852,45,Medium,20
8550,163,5,High,25
8551,942,33,High,31
8552,946,39,High,22
8553,869,18,Medium,43
8554,902,47,Medium,18
8555,526,42,High,11
8556,759,15,Medium,47
8557,370,15,High,25
8558,228,14,Low,16
8559,946,44,Medium,19
8560,268,48,Low,4
8561,838,4,Medium,187
8562,998,24,Medium,37
8563,577,27,High,21
8564,541,5,Low,98
8565,940,19,High,48
8566,110,16,Low,7
8567,103,27,Medium,1
8568,729,33,Medium,20
8569,587,35,High,15
8570,897,7,Low,119
8571,114,40,Low,5
8572,661,34,Medium,20
8573,635,44,High,18
8574,753,23,Medium,33
8575,220,44,Medium,6
8576,322,43,High,10
8577,938,22,Low,43
8578,748,19,Low,41
8579,584,46,Medium,12
8580,440,36,Low,10
8581,989,46,High,21
8582,742,40,Low,19
8583,376,30,Low,10
8584,157,6,Medium,22
8585,896,15,Low,57
8586,211,48,High,2
8587,863,16,Medium,50
8588,501,5,High,91
8589,255,35,Low,8
8590,639,36,Low,14
8591,65,14,Medium,4
8592,376,15,High,23
8593,657,23,Low,29
8594,59,16,Low,2
8595,483,42,Low,8
8596,130,33,High,3
8597,534,16,High,32
8598,701,26,High,27
8599,887,22,Low,36
8600,199,17,Medium,8
8601,849,42,Medium,20
8602,922,24,Medium,40
8603,389,41,High,11
8604,178,6,High,28
8605,487,7,High,61
8606,800,48,High,18
8607,550,29,Low,18
8608,107,25,Medium,1
8609,247,26,Medium,3
8610,260,11,High,22
8611,963,36,Medium,26
8612,951,5,Medium,181
8613,146,28,High,4
8614,328,45,High,6
8615,584,26,High,24
8616,459,7,Low,62
8617,510,29,Medium,15
8618,440,5,Low,83
8619,896,10,Medium,84
8620,93,2,Low,37
8621,76,26,High,1
8622,843,5,Low,164
8623,146,24,High,1
8624,597,46,High,11
8625,670,36,Low,19
8626,616,4,Medium,129
8627,753,11,Low,61
8628,268,34,High,8
8629,234,44,High,3
8630,118,2,Medium,47
8631,878,40,Medium,24
8632,179,28,Medium,7
8633,616,27,High,21
8634,939,47,Low,17
8635,658,37,Medium,19
8636,897,42,High,21
8637,648,18,Low,33
8638,855,28,Medium,32
8639,680,31,Low,20
8640,769,16,Low,44
8641,383,28,High,15
8642,974,12,High,75
8643,203,8,High,25
8644,596,19,Low,33
8645,128,37,Medium,5
8646,628,45,Medium,14
8647,904,23,Medium,36
8648,462,32,High,13
8649,595,6,Medium,103
8650,658,45,Medium,16
8651,218,28,High,7
8652,730,39,Medium,16
8653,712,39,Medium,14
8654,632,13,Medium,49
8655,564,26,Low,23
8656,363,48,Low,7
8657,81,5,High,14
8658,336,34,High,12
8659,643,48,Low,10
8660,92,15,High,9
8661,952,43,High,23
8662,666,46,Medium,11
8663,50,37,High,2
8664,622,12,High,49
8665,319,17,Medium,15
8666,229,2,Medium,84
8667,785,41,Low,16
8668,567,42,High,10
8669,152,32,Medium,5
8670,59,18,High,3
8671,632,4,High,134
8672,139,37,Low,3
8673,275,36,Low,6
8674,719,45,Low,11
8675,789,36,Low,22
8676,966,41,Low,23
8677,175,37,Medium,7
8678,258,31,Low,9
8679,146,21,Medium,7
8680,123,45,Low,1
8681,676,32,Medium,19
8682,240,20,High,12
8683,731,5,Low,143
8684,868,15,Medium,59
8685,765,27,Low,30
8686,105,14,Medium,6
8687,769,11,Medium,65
8688,602,26,Low,20
8689,81,9,Medium,8
8690,576,40,High,16
8691,623,24,Low,24
8692,716,29,High,23
8693,333,8,Medium,38
8694,770,16,Medium,44
8695,881,21,Low,42
8696,543,40,High,12
8697,236,38,High,3
8698,547,11,Low,46
8699,491,31,High,15
8700,179,12,Low,16
8701,688,49,Low,13
8702,341,47,Medium,5
8703,163,28,Medium,7
8704,248,35,High,5
8705,320,36,Low,6
8706,650,35,Low,17
8707,264,47,Low,1
8708,493,30,Medium,12
8709,839,32,High,27
8710,561,42,Medium,12
8711,496,33,Low,14
8712,764,36,High,20
8713,123,12,High,10
8714,586,19,Low,28
8715,150,8,Low,19
8716,225,25,Medium,8
8717,476,23,Medium,18
8718,166,49,Low,4
8719,215,30,Low,7
8720,478,17,High,25
8721,393,41,High,10
8722,473,31,High,17
8723,415,35,Medium,12
8724,169,15,Low,12
8725,658,27,High,26
8726,706,32,Low,21
8727,777,29,Medium,26
8728,278,45,Medium,7
8729,874,45,Low,17
8730,179,48,Low,5
8731,401,33,Low,14
8732,938,48,Low,17
8733,367,41,High,14
8734,698,14,Low,50
8735,885,21,High,40
8736,386,12,Medium,26
8737,166,10,Low,17
8738,417,36,Medium,8
8739,143,21,Low,5
8740,217,16,Medium,14
8741,764,38,Medium,21
8742,390,41,Low,11
8743,710,48,High,14
8744,963,32,Medium,29
8745,744,23,Low,32
8746,974,15,Medium,61
8747,201,11,High,13
8748,635,11,Medium,58
8749,926,21,Medium,45
8750,962,49,Medium,20
8751,603,10,High,58
8752,545,10,Low,52
8753,773,36,Medium,23
8754,150,18,High,9
8755,606,23,Medium,25
8756,131,8,Medium,17
8757,578,20,Medium,25
8758,122,6,High,20
8759,63,27,Medium,5
8760,482,5,Medium,84
8761,206,39,Low,7
8762,784,28,High,27
8763,181,36,Low,4
